Code,Country,EDGAR Country Code,Income group,Lending category,Region,CSC Sector,CSC Subsector,Gas,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AFG,Afghanistan,AFG,Low income,IDA,South Asia,Energy,EN - Manufacturing/Construction,CO2,MtCO2e,0.246399241,0.186506871,0.281072215,0.214303366,0.169212705,0.245604252,0.262196737,0.644945225,1.158102478,1.608979491,1.924782858,3.638331829,2.87914819,2.868673071,3.057026524,2.394270502,2.408196815,2.926521146,2.412385296,2.369205763,1.645051051,1.695876335,1.689139044
AFG,Afghanistan,AFG,Low income,IDA,South Asia,Energy,EN - Manufacturing/Construction,N2O,MtCO2e,0.002392582,0.002415986,0.002601284,0.002616022,0.002636631,0.002705898,0.002865625,0.004122812,0.005693059,0.007178268,0.008022111,0.01472759,0.011733116,0.011141552,0.012623581,0.009564143,0.009567172,0.012267547,0.009737624,0.009988184,0.006881562,0.007080518,0.007045884
AFG,Afghanistan,AFG,Low income,IDA,South Asia,Energy,EN - Transportation,CH4,MtCO2e,0.003002197,0.002508601,0.002330543,0.002970949,0.002282856,0.004225776,0.004451149,0.003982672,0.009288629,0.015243754,0.021719091,0.025241613,0.02236049,0.014952292,0.010278811,0.013805838,0.010013992,0.009560419,0.012544047,0.011161547,0.008662368,0.009030469,0.009179077
AFG,Afghanistan,AFG,Low income,IDA,South Asia,Energy,EN - Transportation,CO2,MtCO2e,0.241419407,0.230046887,0.179801057,0.246914747,0.210581109,0.352773884,0.463560232,0.492728368,1.308005242,2.427742358,3.343026629,4.482588426,3.920413804,2.633938937,1.945097442,2.407381465,1.727949933,1.747122392,2.258401121,1.900048946,1.475218546,1.528984386,1.577174837
AFG,Afghanistan,AFG,Low income,IDA,South Asia,Energy,EN - Transportation,N2O,MtCO2e,0.003590934,0.003213727,0.002486266,0.00317148,0.002801211,0.004358848,0.006058588,0.006480829,0.019661463,0.038345591,0.053297984,0.061677487,0.058558438,0.035874,0.027116796,0.031889608,0.022729025,0.021496115,0.026582504,0.023374056,0.01813283,0.018818378,0.019275797
AFG,Afghanistan,AFG,Low income,IDA,South Asia,Industrial Processes,IN - Industrial Processes,CO2,MtCO2e,0.125918889,0.117675326,0.124619379,0.131833305,0.133939239,0.132821089,0.129847638,0.133087307,0.130562437,0.1404214,0.157625141,0.163922849,0.245510923,0.318365113,0.26914448,0.220094629,0.239605819,0.233933628,0.246178317,0.247081964,0.127857804,0.132399738,0.133618409
AFG,Afghanistan,AFG,Low income,IDA,South Asia,Industrial Processes,IN - Industrial Processes,HFC,MtCO2e,0.089241774,0.122255481,0.15393848,0.190157659,0.226768741,0.270851108,0.285779993,0.291898329,0.303551721,0.313787409,0.311941629,0.314093982,0.320281128,0.329182522,0.358812736,0.396512663,0.45237556,0.50747571,0.574910306,0.634376187,0.693842068,0.760483506,0.83383889
AFG,Afghanistan,AFG,Low income,IDA,South Asia,Industrial Processes,IN - Industrial Processes,N2O,MtCO2e,0.020754262,0.021884533,0.02116189,0.025216951,0.022227958,0.025100243,0.027474509,0.029186344,0.046096683,0.063651993,0.074650232,0.090229133,0.083362554,0.067985327,0.062201072,0.064755252,0.057020116,0.057803319,0.06111241,0.057455418,0.049212785,0.050407221,0.050667422
AFG,Afghanistan,AFG,Low income,IDA,South Asia,Waste,Waste - Solid Waste,CH4,MtCO2e,0.263065399,0.276187513,0.291672533,0.313518351,0.327456393,0.352866765,0.373751765,0.405877642,0.420642111,0.471647823,0.513872501,0.534403658,0.575208671,0.608742457,0.635906681,0.659730803,0.683103843,0.707329092,0.727898758,0.750005563,0.772790702,0.795267993,0.818400805
AFG,Afghanistan,AFG,Low income,IDA,South Asia,Waste,Waste - Wastewater Treatment,CH4,MtCO2e,2.638835109,2.750730091,2.884446107,3.024742085,3.165479271,3.292225019,3.396125982,3.490390623,3.581704277,3.676445626,3.784534196,3.90390844,4.038198711,4.178446124,4.309539485,4.433278678,4.553186527,4.669210011,4.77865355,4.887228266,5.004607944,5.118110558,5.232737545
