sector,subsector,field,model_variable,category_value,category_name,gas,gas_name,subsector_total_field,model_variable_information
Circular Economy,Solid Waste,emission_co2e_ch4_waso_compost_food,:math:\text{CH}_4 Emissions from Composting,food,cat_waste_solid,ch4,Methane,emission_co2e_subsector_total_waso,
Circular Economy,Solid Waste,emission_co2e_ch4_waso_compost_sludge,:math:\text{CH}_4 Emissions from Composting,sludge,cat_waste_solid,ch4,Methane,emission_co2e_subsector_total_waso,
Circular Economy,Solid Waste,emission_co2e_ch4_waso_compost_yard,:math:\text{CH}_4 Emissions from Composting,yard,cat_waste_solid,ch4,Methane,emission_co2e_subsector_total_waso,
Circular Economy,Solid Waste,emission_co2e_ch4_waso_incineration,:math:\text{CH}_4 Emissions from Incineration,,,ch4,Methane,emission_co2e_subsector_total_waso,Total :math:`\text{CH}_4` emissions from incineration (combined MSW and ISW)
Circular Economy,Solid Waste,emission_co2e_ch4_waso_landfilled_chemical_industrial,:math:\text{CH}_4 Emissions from Landfills,chemical_industrial,cat_waste_solid,ch4,Methane,emission_co2e_subsector_total_waso,Captures :math:`\text{CH}_4` emissions from landfills (:math:`\text{CH}_4` is assumed to be 50% of landfill gas.
Circular Economy,Solid Waste,emission_co2e_ch4_waso_landfilled_food,:math:\text{CH}_4 Emissions from Landfills,food,cat_waste_solid,ch4,Methane,emission_co2e_subsector_total_waso,Captures :math:`\text{CH}_4` emissions from landfills (:math:`\text{CH}_4` is assumed to be 50% of landfill gas.
Circular Economy,Solid Waste,emission_co2e_ch4_waso_landfilled_glass,:math:\text{CH}_4 Emissions from Landfills,glass,cat_waste_solid,ch4,Methane,emission_co2e_subsector_total_waso,Captures :math:`\text{CH}_4` emissions from landfills (:math:`\text{CH}_4` is assumed to be 50% of landfill gas.
Circular Economy,Solid Waste,emission_co2e_ch4_waso_landfilled_metal,:math:\text{CH}_4 Emissions from Landfills,metal,cat_waste_solid,ch4,Methane,emission_co2e_subsector_total_waso,Captures :math:`\text{CH}_4` emissions from landfills (:math:`\text{CH}_4` is assumed to be 50% of landfill gas.
Circular Economy,Solid Waste,emission_co2e_ch4_waso_landfilled_nappies,:math:\text{CH}_4 Emissions from Landfills,nappies,cat_waste_solid,ch4,Methane,emission_co2e_subsector_total_waso,Captures :math:`\text{CH}_4` emissions from landfills (:math:`\text{CH}_4` is assumed to be 50% of landfill gas.
Circular Economy,Solid Waste,emission_co2e_ch4_waso_landfilled_other,:math:\text{CH}_4 Emissions from Landfills,other,cat_waste_solid,ch4,Methane,emission_co2e_subsector_total_waso,Captures :math:`\text{CH}_4` emissions from landfills (:math:`\text{CH}_4` is assumed to be 50% of landfill gas.
Circular Economy,Solid Waste,emission_co2e_ch4_waso_landfilled_paper,:math:\text{CH}_4 Emissions from Landfills,paper,cat_waste_solid,ch4,Methane,emission_co2e_subsector_total_waso,Captures :math:`\text{CH}_4` emissions from landfills (:math:`\text{CH}_4` is assumed to be 50% of landfill gas.
Circular Economy,Solid Waste,emission_co2e_ch4_waso_landfilled_plastic,:math:\text{CH}_4 Emissions from Landfills,plastic,cat_waste_solid,ch4,Methane,emission_co2e_subsector_total_waso,Captures :math:`\text{CH}_4` emissions from landfills (:math:`\text{CH}_4` is assumed to be 50% of landfill gas.
Circular Economy,Solid Waste,emission_co2e_ch4_waso_landfilled_rubber_leather,:math:\text{CH}_4 Emissions from Landfills,rubber_leather,cat_waste_solid,ch4,Methane,emission_co2e_subsector_total_waso,Captures :math:`\text{CH}_4` emissions from landfills (:math:`\text{CH}_4` is assumed to be 50% of landfill gas.
Circular Economy,Solid Waste,emission_co2e_ch4_waso_landfilled_sludge,:math:\text{CH}_4 Emissions from Landfills,sludge,cat_waste_solid,ch4,Methane,emission_co2e_subsector_total_waso,Captures :math:`\text{CH}_4` emissions from landfills (:math:`\text{CH}_4` is assumed to be 50% of landfill gas.
Circular Economy,Solid Waste,emission_co2e_ch4_waso_landfilled_textiles,:math:\text{CH}_4 Emissions from Landfills,textiles,cat_waste_solid,ch4,Methane,emission_co2e_subsector_total_waso,Captures :math:`\text{CH}_4` emissions from landfills (:math:`\text{CH}_4` is assumed to be 50% of landfill gas.
Circular Economy,Solid Waste,emission_co2e_ch4_waso_landfilled_wood,:math:\text{CH}_4 Emissions from Landfills,wood,cat_waste_solid,ch4,Methane,emission_co2e_subsector_total_waso,Captures :math:`\text{CH}_4` emissions from landfills (:math:`\text{CH}_4` is assumed to be 50% of landfill gas.
Circular Economy,Solid Waste,emission_co2e_ch4_waso_landfilled_yard,:math:\text{CH}_4 Emissions from Landfills,yard,cat_waste_solid,ch4,Methane,emission_co2e_subsector_total_waso,Captures :math:`\text{CH}_4` emissions from landfills (:math:`\text{CH}_4` is assumed to be 50% of landfill gas.
Circular Economy,Solid Waste,emission_co2e_ch4_waso_open_dump_chemical_industrial,:math:\text{CH}_4 Emissions from Open Dumping,chemical_industrial,cat_waste_solid,ch4,Methane,emission_co2e_subsector_total_waso,"Captures :math:`\text{CH}_4` emissions from open dumping. Aerobic decomposition can occur at lower levels with open dumping, but there is no collection of gas."
Circular Economy,Solid Waste,emission_co2e_ch4_waso_open_dump_food,:math:\text{CH}_4 Emissions from Open Dumping,food,cat_waste_solid,ch4,Methane,emission_co2e_subsector_total_waso,"Captures :math:`\text{CH}_4` emissions from open dumping. Aerobic decomposition can occur at lower levels with open dumping, but there is no collection of gas."
Circular Economy,Solid Waste,emission_co2e_ch4_waso_open_dump_glass,:math:\text{CH}_4 Emissions from Open Dumping,glass,cat_waste_solid,ch4,Methane,emission_co2e_subsector_total_waso,"Captures :math:`\text{CH}_4` emissions from open dumping. Aerobic decomposition can occur at lower levels with open dumping, but there is no collection of gas."
Circular Economy,Solid Waste,emission_co2e_ch4_waso_open_dump_metal,:math:\text{CH}_4 Emissions from Open Dumping,metal,cat_waste_solid,ch4,Methane,emission_co2e_subsector_total_waso,"Captures :math:`\text{CH}_4` emissions from open dumping. Aerobic decomposition can occur at lower levels with open dumping, but there is no collection of gas."
Circular Economy,Solid Waste,emission_co2e_ch4_waso_open_dump_nappies,:math:\text{CH}_4 Emissions from Open Dumping,nappies,cat_waste_solid,ch4,Methane,emission_co2e_subsector_total_waso,"Captures :math:`\text{CH}_4` emissions from open dumping. Aerobic decomposition can occur at lower levels with open dumping, but there is no collection of gas."
Circular Economy,Solid Waste,emission_co2e_ch4_waso_open_dump_other,:math:\text{CH}_4 Emissions from Open Dumping,other,cat_waste_solid,ch4,Methane,emission_co2e_subsector_total_waso,"Captures :math:`\text{CH}_4` emissions from open dumping. Aerobic decomposition can occur at lower levels with open dumping, but there is no collection of gas."
Circular Economy,Solid Waste,emission_co2e_ch4_waso_open_dump_paper,:math:\text{CH}_4 Emissions from Open Dumping,paper,cat_waste_solid,ch4,Methane,emission_co2e_subsector_total_waso,"Captures :math:`\text{CH}_4` emissions from open dumping. Aerobic decomposition can occur at lower levels with open dumping, but there is no collection of gas."
Circular Economy,Solid Waste,emission_co2e_ch4_waso_open_dump_plastic,:math:\text{CH}_4 Emissions from Open Dumping,plastic,cat_waste_solid,ch4,Methane,emission_co2e_subsector_total_waso,"Captures :math:`\text{CH}_4` emissions from open dumping. Aerobic decomposition can occur at lower levels with open dumping, but there is no collection of gas."
Circular Economy,Solid Waste,emission_co2e_ch4_waso_open_dump_rubber_leather,:math:\text{CH}_4 Emissions from Open Dumping,rubber_leather,cat_waste_solid,ch4,Methane,emission_co2e_subsector_total_waso,"Captures :math:`\text{CH}_4` emissions from open dumping. Aerobic decomposition can occur at lower levels with open dumping, but there is no collection of gas."
